date,new_diagnoses,new_deaths
2020-11-29,226,6
2020-11-30,252,4
2020-12-01,319,6
2020-12-02,254,8
2020-12-03,285,5
2020-12-04,278,3
2020-12-05,278,2
2020-12-06,193,2
2020-12-07,216,5
2020-12-08,246,5
2020-12-09,230,2
2020-12-10,253,3
2020-12-11,215,8
2020-12-12,179,3
2020-12-13,165,2
2020-12-14,221,4
2020-12-15,267,6
2020-12-16,235,4
2020-12-17,229,3
2020-12-18,213,5
2020-12-19,241,3
2020-12-20,165,3
2020-12-21,253,2
2020-12-22,219,7
2020-12-23,220,2
2020-12-24,232,4
2020-12-25,183,1
2020-12-26,227,6
2020-12-27,172,3
2020-12-28,234,0
2020-12-29,198,0
2020-12-30,162,1
2020-12-31,144,1
2021-01-01,112,1
2021-01-02,225,2
2021-01-03,108,2
2021-01-04,146,3
2021-01-05,168,1
2021-01-06,130,3
2021-01-07,117,2
2021-01-08,165,2
2021-01-09,136,3
2021-01-10,89,2
2021-01-11,143,5
2021-01-12,144,3
2021-01-13,117,2
2021-01-14,124,4
2021-01-15,119,2
2021-01-16,99,0
2021-01-17,66,3
2021-01-18,87,0
2021-01-19,68,1
2021-01-20,50,1
2021-01-21,51,5
2021-01-22,26,0
2021-01-23,44,1
2021-01-24,48,2
2021-01-25,54,2
2021-01-26,21,2
2021-01-27,53,3
2021-01-28,49,1
2021-01-29,39,1
2021-01-30,37,2
2021-01-31,31,0
2021-02-01,20,0
2021-02-02,30,0
2021-02-03,23,0
2021-02-04,26,0
2021-02-05,28,2
2021-02-06,14,0
2021-02-07,11,0
2021-02-08,13,2
2021-02-09,36,0
2021-02-10,29,0
2021-02-11,21,0
2021-02-12,18,0
2021-02-13,15,1
2021-02-14,10,0
2021-02-15,19,0
2021-02-16,7,0
2021-02-17,13,0
2021-02-18,15,0
2021-02-19,8,0
2021-02-20,26,0
2021-02-21,11,0
2021-02-22,17,0
2021-02-23,25,0
2021-02-24,21,0
2021-02-25,12,0
2021-02-26,16,0
2021-02-27,15,0
2021-02-28,15,0
